Invoice ID,Branch,city,Customer type,Gender,PRODUCT LINE,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs
750-67-8428,A,  yangon,Member,Female,HEALTH AND BEAUTY,$74.69 ,7,$26.14 ,,4347000.00%,1:08:00 PM,Ewallet,
226-31-3081,C,naypyitaw,Normal,Female,ELECTRONIC ACCESSORIES,$15.28 ,5,$3.82 ,,4353200.00%,10:29:00 AM,Cash,
631-41-3108,A,          yangon,Normal,Male,HOME AND LIFESTYLE,$46.33 ,7,$16.22 ,,4352700.00%,1:23:00 PM,Credit card,
123-19-1176,A,yangon,Member,Male,HEALTH AND BEAUTY,$58.22 ,8,$23.29 ,,4349200.00%,8:33:00 PM,Ewallet,
373-73-7910,A,yangon,Normal,Male,SPORTS AND TRAVEL,$86.31 ,7,$30.21 ,,4350400.00%,10:37:00 AM,Ewallet,
699-14-3026,C,      naypyitaw,Normal,Male,ELECTRONIC ACCESSORIES,$85.39 ,7,$29.89 ,,4354900.00%,6:30:00 PM,Ewallet,
355-53-5943,A,yangon,Member,Female,ELECTRONIC ACCESSORIES,$68.84 ,6,$20.65 ,,4352100.00%,2:36:00 PM,Ewallet,
315-22-5665,C,           naypyitaw,Normal,Female,HOME AND LIFESTYLE,$73.56 ,10,$36.78 ,,4352000.00%,11:38:00 AM,Ewallet,
665-32-9167,A,       yangon,Member,Female,HEALTH AND BEAUTY,$36.26 ,2,$3.63 ,,4347500.00%,5:15:00 PM,Credit card,
692-92-5582,B,mandalay,Member,Female,FOOD AND BEVERAGES,$54.84 ,3,$8.23 ,,4351600.00%,1:27:00 PM,Credit card,
351-62-0822,B,    mandalay,Member,Female,FASHION ACCESSORIES,$14.48 ,4,$2.90 ,,4350200.00%,6:07:00 PM,Ewallet,
529-56-3974,B,      mandalay,Member,Male,ELECTRONIC ACCESSORIES,$25.51 ,4,$5.10 ,,4353300.00%,5:03:00 PM,Cash,
365-64-0515,A,yangon,Normal,Female,ELECTRONIC ACCESSORIES,$46.95 ,5,$11.74 ,,4350800.00%,10:25:00 AM,Ewallet,
252-56-2699,A,yangon,Normal,Male,FOOD AND BEVERAGES,$43.19 ,10,$21.60 ,,4350300.00%,4:48:00 PM,Ewallet,
829-34-3910,A,yangon,Normal,Female,HEALTH AND BEAUTY,$71.38 ,10,$35.69 ,,4355300.00%,7:21:00 PM,Cash,
299-46-1805,B,        mandalay,Member,Female,SPORTS AND TRAVEL,$93.72 ,6,$28.12 ,,4348000.00%,4:19:00 PM,Cash,
656-95-9349,A,yangon,Member,Female,HEALTH AND BEAUTY,$68.93 ,7,$24.13 ,,4353500.00%,11:03:00 AM,Credit card,
765-26-6951,A,yangon,Normal,Male,SPORTS AND TRAVEL,$72.61 ,6,$21.78 ,,4346600.00%,10:39:00 AM,Credit card,
329-62-1586,A,yangon,Normal,Male,FOOD AND BEVERAGES,$54.67 ,3,$8.20 ,,4348600.00%,6:00:00 PM,Credit card,
319-50-3348,B,mandalay,Normal,Female,HOME AND LIFESTYLE,$40.30 ,2,$4.03 ,,4353500.00%,3:30:00 PM,Ewallet,
300-71-4605,C,naypyitaw,Member,Male,ELECTRONIC ACCESSORIES,$86.04 ,5,$21.51 ,,4352100.00%,11:24:00 AM,Ewallet,
371-85-5789,B,mandalay,Normal,Male,HEALTH AND BEAUTY,$87.98 ,3,$13.20 ,,4352900.00%,10:40:00 AM,Ewallet,
273-16-6619,B,mandalay,Normal,Male,HOME AND LIFESTYLE,$33.20 ,2,$3.32 ,,4353900.00%,12:20:00 PM,Credit card,
636-48-8204,A,yangon,Normal,Male,ELECTRONIC ACCESSORIES,$34.56 ,5,$8.64 ,,4351300.00%,11:15:00 AM,Ewallet,
549-59-1358,A,yangon,Member,Male,SPORTS AND TRAVEL,$88.63 ,3,$13.29 ,,4352600.00%,5:36:00 PM,Ewallet,
227-03-5010,A,yangon,Member,Female,HOME AND LIFESTYLE,$52.59 ,8,$21.04 ,,4354600.00%,7:20:00 PM,Credit card,
649-29-6775,B,mandalay,Normal,Male,FASHION ACCESSORIES,$33.52 ,1,$1.68 ,,4350400.00%,3:31:00 PM,Cash,
189-17-4241,A,yangon,Normal,Female,FASHION ACCESSORIES,$87.67 ,2,$8.77 ,,4353400.00%,12:17:00 PM,Credit card,
145-94-9061,B,mandalay,Normal,Female,FOOD AND BEVERAGES,$88.36 ,5,$22.09 ,,4349000.00%,7:48:00 PM,Cash,
848-62-7243,A,yangon,Normal,Male,HEALTH AND BEAUTY,$24.89 ,9,$11.20 ,,4353900.00%,3:36:00 PM,Cash,
871-79-8483,B,mandalay,Normal,Male,FASHION ACCESSORIES,$94.13 ,5,$23.53 ,,4352100.00%,7:39:00 PM,Credit card,
149-71-6266,B,mandalay,Member,Male,SPORTS AND TRAVEL,$78.07 ,9,$35.13 ,,4349300.00%,12:43:00 PM,Cash,
640-49-2076,B,mandalay,Normal,Male,SPORTS AND TRAVEL,$83.78 ,8,$33.51 ,,4347500.00%,2:49:00 PM,Cash,
595-11-5460,A,yangon,Normal,Male,HEALTH AND BEAUTY,$96.58 ,2,$9.66 ,,4353900.00%,10:12:00 AM,Credit card,
183-56-6882,C,naypyitaw,Member,Female,FOOD AND BEVERAGES,$99.42 ,4,$19.88 ,,4350200.00%,10:42:00 AM,Ewallet,
232-16-2483,C,naypyitaw,Member,Female,SPORTS AND TRAVEL,$68.12 ,1,$3.41 ,,4347200.00%,12:28:00 PM,Ewallet,
129-29-8530,A,yangon,Member,Male,SPORTS AND TRAVEL,$62.62 ,5,$15.66 ,,4353400.00%,7:15:00 PM,Ewallet,
272-65-1806,A,yangon,Normal,Female,ELECTRONIC ACCESSORIES,$60.88 ,9,$27.40 ,,4348000.00%,5:17:00 PM,Ewallet,
333-73-7901,C,naypyitaw,Normal,Female,HEALTH AND BEAUTY,$54.92 ,8,$21.97 ,,4354700.00%,1:24:00 PM,Ewallet,
777-82-7220,B,mandalay,Member,Male,HOME AND LIFESTYLE,$30.12 ,8,$12.05 ,,4352700.00%,1:01:00 PM,Cash,
280-35-5823,B,mandalay,Member,Female,HOME AND LIFESTYLE,$86.72 ,1,$4.34 ,,4348200.00%,6:45:00 PM,Ewallet,
554-53-8700,C,naypyitaw,Member,Male,HOME AND LIFESTYLE,$56.11 ,2,$5.61 ,,4349800.00%,10:11:00 AM,Cash,
354-25-5821,B,mandalay,Member,Female,SPORTS AND TRAVEL,$69.12 ,6,$20.74 ,,4350400.00%,1:03:00 PM,Cash,
228-96-1411,C,  naypyitaw,Member,Female,FOOD AND BEVERAGES,$98.70 ,8,$39.48 ,,4352800.00%,8:39:00 PM,Cash,
617-15-4209,C,naypyitaw,Member,Male,HEALTH AND BEAUTY,$15.37 ,2,$1.54 ,,4354000.00%,7:47:00 PM,Cash,
132-32-9879,B,         mandalay,Member,Female,ELECTRONIC ACCESSORIES,$93.96 ,4,$18.79 ,,4353300.00%,6:00:00 PM,Cash,
370-41-7321,B,mandalay,Member,Male,HEALTH AND BEAUTY,$56.69 ,9,$25.51 ,,4352300.00%,5:24:00 PM,Credit card,
727-46-3608,B,       mandalay,Member,Female,FOOD AND BEVERAGES,$20.01 ,9,$9.00 ,,4350200.00%,3:47:00 PM,Ewallet,
669-54-1719,B,mandalay,Member,Male,ELECTRONIC ACCESSORIES,$18.93 ,6,$5.68 ,,4350600.00%,12:45:00 PM,Credit card,
574-22-5561,C,         naypyitaw,Member,Female,FASHION ACCESSORIES,$82.63 ,10,$41.32 ,,4354300.00%,5:08:00 PM,Ewallet,
326-78-5178,C,naypyitaw,Member,Male,FOOD AND BEVERAGES,$91.40 ,7,$31.99 ,,4349900.00%,10:19:00 AM,Cash,
162-48-8011,A,yangon,Member,Female,FOOD AND BEVERAGES,$44.59 ,5,$11.15 ,,4350600.00%,3:10:00 PM,Cash,
616-24-2851,B,mandalay,Member,Female,FASHION ACCESSORIES,$17.87 ,4,$3.57 ,,4354600.00%,2:42:00 PM,Ewallet,
778-71-5554,C,naypyitaw,Member,Male,FASHION ACCESSORIES,$15.43 ,1,$0.77 ,,4349000.00%,3:46:00 PM,Credit card,
242-55-6721,B,mandalay,Normal,Male,HOME AND LIFESTYLE,$16.16 ,2,$1.62 ,,4353100.00%,11:49:00 AM,Ewallet,
399-46-5918,C,naypyitaw,Normal,Female,ELECTRONIC ACCESSORIES,$85.98 ,8,$34.39 ,,4352400.00%,7:01:00 PM,Cash,
106-35-6779,A,yangon,Member,Male,HOME AND LIFESTYLE,$44.34 ,2,$4.43 ,,4355100.00%,11:26:00 AM,Cash,
635-40-6220,A,yangon,Normal,Male,HEALTH AND BEAUTY,$89.60 ,8,$35.84 ,,4350300.00%,11:28:00 AM,Ewallet,
817-48-8732,A,yangon,Member,Female,HOME AND LIFESTYLE,$72.35 ,10,$36.18 ,,4348500.00%,3:55:00 PM,Cash,
120-06-4233,C,naypyitaw,Normal,Male,ELECTRONIC ACCESSORIES,$30.61 ,6,$9.18 ,,4353600.00%,8:36:00 PM,Cash,
285-68-5083,C,naypyitaw,Member,Female,SPORTS AND TRAVEL,$24.74 ,3,$3.71 ,,4351100.00%,5:47:00 PM,Credit card,
803-83-5989,C,naypyitaw,Normal,Male,HOME AND LIFESTYLE,$55.73 ,6,$16.72 ,,4352000.00%,10:55:00 AM,Ewallet,
347-34-2234,B,mandalay,Member,Female,SPORTS AND TRAVEL,$55.07 ,9,$24.78 ,,4349900.00%,1:40:00 PM,Ewallet,
199-75-8169,A,yangon,Member,Male,SPORTS AND TRAVEL,$15.81 ,10,$7.91 ,,4353000.00%,12:27:00 PM,Credit card,
853-23-2453,B,mandalay,Member,Male,HEALTH AND BEAUTY,$75.74 ,4,$15.15 ,,4351000.00%,2:35:00 PM,Cash,
877-22-3308,A,yangon,Member,Male,HEALTH AND BEAUTY,$15.87 ,10,$7.94 ,,4353700.00%,4:40:00 PM,Cash,
838-78-4295,C,naypyitaw,Normal,Female,HEALTH AND BEAUTY,$33.47 ,2,$3.35 ,,4350600.00%,3:43:00 PM,Ewallet,
109-28-2512,B,mandalay,Member,Female,FASHION ACCESSORIES,$97.61 ,6,$29.28 ,,4347200.00%,3:01:00 PM,Ewallet,
232-11-3025,A,yangon,Normal,Male,SPORTS AND TRAVEL,$78.77 ,10,$39.39 ,,4348900.00%,10:04:00 AM,Cash,
382-03-4532,A,yangon,Member,Female,HEALTH AND BEAUTY,$18.33 ,1,$0.92 ,,4349800.00%,6:50:00 PM,Cash,
393-65-2792,C,naypyitaw,Normal,Male,FOOD AND BEVERAGES,$89.48 ,10,$44.74 ,,4347100.00%,12:46:00 PM,Credit card,
796-12-2025,C,naypyitaw,Normal,Male,FASHION ACCESSORIES,$62.12 ,10,$31.06 ,,4350700.00%,4:19:00 PM,Cash,
510-95-6347,B,mandalay,Member,Female,FOOD AND BEVERAGES,$48.52 ,3,$7.28 ,,4352900.00%,6:17:00 PM,Ewallet,
841-35-6630,C,naypyitaw,Normal,Female,ELECTRONIC ACCESSORIES,$75.91 ,6,$22.77 ,,4353300.00%,6:21:00 PM,Cash,
287-21-9091,A,yangon,Normal,Male,HOME AND LIFESTYLE,$74.67 ,9,$33.60 ,,4348700.00%,10:55:00 AM,Ewallet,
732-94-0499,C,naypyitaw,Normal,Female,ELECTRONIC ACCESSORIES,$41.65 ,10,$20.83 ,,4347800.00%,5:04:00 PM,Credit card,
263-10-3913,C,naypyitaw,Member,Male,FASHION ACCESSORIES,$49.04 ,9,$22.07 ,,4347400.00%,2:20:00 PM,Credit card,
381-20-0914,A,yangon,Member,Female,FASHION ACCESSORIES,$20.01 ,9,$9.00 ,,4347700.00%,3:48:00 PM,Credit card,
829-49-1914,C,naypyitaw,Member,Female,FOOD AND BEVERAGES,$78.31 ,10,$39.16 ,,4352900.00%,4:24:00 PM,Ewallet,
756-01-7507,C,naypyitaw,Normal,Female,HEALTH AND BEAUTY,$20.38 ,5,$5.10 ,,4348700.00%,6:56:00 PM,Cash,
870-72-4431,C,naypyitaw,Normal,Female,HEALTH AND BEAUTY,$99.19 ,6,$29.76 ,,4348600.00%,2:42:00 PM,Credit card,
847-38-7188,B,mandalay,Normal,Female,FOOD AND BEVERAGES,$96.68 ,3,$14.50 ,,4349100.00%,7:56:00 PM,Ewallet,
480-63-2856,C,naypyitaw,Normal,Male,FOOD AND BEVERAGES,$19.25 ,8,$7.70 ,,4348800.00%,6:37:00 PM,Ewallet,
787-56-0757,C,naypyitaw,Member,Female,FOOD AND BEVERAGES,$80.36 ,4,$16.07 ,,4351900.00%,6:45:00 PM,Credit card,
360-39-5055,C,naypyitaw,Member,Male,SPORTS AND TRAVEL,$48.91 ,5,$12.23 ,,4353300.00%,10:17:00 AM,Cash,
730-50-9884,C,naypyitaw,Normal,Female,SPORTS AND TRAVEL,$83.06 ,7,$29.07 ,,4352900.00%,2:31:00 PM,Ewallet,
362-58-8315,C,naypyitaw,Normal,Male,FASHION ACCESSORIES,$76.52 ,5,$19.13 ,,4354900.00%,10:23:00 AM,Cash,
633-44-8566,A,yangon,Member,Male,FOOD AND BEVERAGES,$49.38 ,7,$17.28 ,,4355100.00%,8:35:00 PM,Credit card,
504-35-8843,A,yangon,Normal,Male,SPORTS AND TRAVEL,$42.47 ,1,$2.12 ,,4346700.00%,4:57:00 PM,Cash,
318-68-5053,B,mandalay,Normal,Female,HEALTH AND BEAUTY,$76.99 ,6,$23.10 ,,4352300.00%,5:55:00 PM,Cash,
565-80-5980,C,naypyitaw,Member,Female,HOME AND LIFESTYLE,$47.38 ,4,$9.48 ,,4348800.00%,10:25:00 AM,Cash,
225-32-0908,C,naypyitaw,Normal,Female,SPORTS AND TRAVEL,$44.86 ,10,$22.43 ,,4349100.00%,7:54:00 PM,Ewallet,
873-51-0671,A,yangon,Member,Female,SPORTS AND TRAVEL,$21.98 ,7,$7.69 ,,4347500.00%,4:42:00 PM,Ewallet,
152-08-9985,B,mandalay,Member,Male,HEALTH AND BEAUTY,$64.36 ,9,$28.96 ,,4353600.00%,12:09:00 PM,Credit card,
512-91-0811,C,naypyitaw,Normal,Male,HEALTH AND BEAUTY,$89.75 ,1,$4.49 ,,4350200.00%,8:05:00 PM,Credit card,
594-34-4444,A,yangon,Normal,Male,ELECTRONIC ACCESSORIES,$97.16 ,1,$4.86 ,,4353200.00%,8:38:00 PM,Ewallet,
766-85-7061,B,mandalay,Normal,Male,HEALTH AND BEAUTY,$87.87 ,10,$43.94 ,,4355300.00%,10:25:00 AM,Ewallet,
871-39-9221,C,naypyitaw,Normal,Female,ELECTRONIC ACCESSORIES,$12.45 ,6,$3.74 ,,4350500.00%,1:11:00 PM,Cash,
865-92-6136,A,yangon,Normal,Male,FOOD AND BEVERAGES,$52.75 ,3,$7.91 ,,4354700.00%,10:16:00 AM,Ewallet,
733-01-9107,B,mandalay,Normal,Male,HOME AND LIFESTYLE,$82.70 ,6,$24.81 ,,4352900.00%,6:14:00 PM,Cash,
163-56-7055,C,naypyitaw,Member,Male,FASHION ACCESSORIES,$48.71 ,1,$2.44 ,,4355000.00%,7:20:00 PM,Cash,
189-98-2939,C,naypyitaw,Normal,Male,FASHION ACCESSORIES,$78.55 ,9,$35.35 ,,4352500.00%,1:22:00 PM,Cash,
551-21-3069,C,naypyitaw,Normal,Female,ELECTRONIC ACCESSORIES,$23.07 ,9,$10.38 ,,4349700.00%,11:27:00 AM,Cash,
212-62-1842,A,yangon,Normal,Male,FOOD AND BEVERAGES,$58.26 ,6,$17.48 ,,4355200.00%,4:44:00 PM,Cash,
716-39-1409,B,mandalay,Normal,Male,HEALTH AND BEAUTY,$30.35 ,7,$10.62 ,,4354300.00%,6:19:00 PM,Cash,
704-48-3927,A,yangon,Member,Male,ELECTRONIC ACCESSORIES,$88.67 ,10,$44.34 ,,4347700.00%,2:50:00 PM,Ewallet,
628-34-3388,C,naypyitaw,Normal,Male,FASHION ACCESSORIES,$27.38 ,6,$8.21 ,,4347000.00%,8:54:00 PM,Credit card,
630-74-5166,A,yangon,Normal,Male,SPORTS AND TRAVEL,$62.13 ,6,$18.64 ,,4354600.00%,8:19:00 PM,Cash,
588-01-7461,C,naypyitaw,Normal,Female,FOOD AND BEVERAGES,$33.98 ,9,$15.29 ,,4354800.00%,10:43:00 AM,Cash,
861-77-0145,C,naypyitaw,Member,Male,ELECTRONIC ACCESSORIES,$81.97 ,10,$40.99 ,,4352700.00%,2:30:00 PM,Cash,
479-26-8945,B,mandalay,Member,Female,SPORTS AND TRAVEL,$16.49 ,2,$1.65 ,,4350100.00%,11:32:00 AM,Ewallet,
210-67-5886,C,naypyitaw,Member,Female,HEALTH AND BEAUTY,$98.21 ,3,$14.73 ,,4350100.00%,10:41:00 AM,Credit card,
227-78-1148,B,mandalay,Normal,Female,FASHION ACCESSORIES,$72.84 ,7,$25.49 ,,4351100.00%,12:44:00 PM,Cash,
645-44-1170,A,yangon,Member,Male,HOME AND LIFESTYLE,$58.07 ,9,$26.13 ,,4348400.00%,8:07:00 PM,Ewallet,
237-01-6122,C,naypyitaw,Member,Female,HOME AND LIFESTYLE,$80.79 ,9,$36.36 ,,4349700.00%,8:31:00 PM,Credit card,
225-98-1496,C,naypyitaw,Normal,Female,FASHION ACCESSORIES,$27.02 ,3,$4.05 ,,4352600.00%,1:01:00 PM,Credit card,
291-32-1427,B,mandalay,Member,Male,FASHION ACCESSORIES,$21.94 ,5,$5.49 ,,4352900.00%,12:29:00 PM,Ewallet,
659-65-8956,B,mandalay,Member,Male,FASHION ACCESSORIES,$51.36 ,1,$2.57 ,,4348100.00%,3:26:00 PM,Ewallet,
642-32-2990,A,yangon,Normal,Female,FOOD AND BEVERAGES,$10.96 ,10,$5.48 ,,4349800.00%,8:48:00 PM,Ewallet,
378-24-2715,B,mandalay,Normal,Male,HOME AND LIFESTYLE,$53.44 ,2,$5.34 ,,4348500.00%,8:38:00 PM,Ewallet,
